,0,1,2,3,4,5,6,7,8,9,10,11,12
0,street_address,,,,,,,,,,,,
1,bar,establishment,food,lodging,point_of_interest,restaurant,spa,store,,,,,
2,route,,,,,,,,,,,,
3,route,,,,,,,,,,,,
4,establishment,parking,point_of_interest,,,,,,,,,,
5,establishment,point_of_interest,transit_station,,,,,,,,,,
6,premise,,,,,,,,,,,,
7,establishment,parking,point_of_interest,,,,,,,,,,
8,establishment,point_of_interest,university,,,,,,,,,,
9,establishment,point_of_interest,university,,,,,,,,,,
10,establishment,point_of_interest,university,,,,,,,,,,
11,bar,establishment,food,lodging,point_of_interest,restaurant,,,,,,,
12,establishment,point_of_interest,,,,,,,,,,,
13,establishment,point_of_interest,,,,,,,,,,,
14,establishment,lodging,point_of_interest,,,,,,,,,,
15,atm,car_repair,car_wash,convenience_store,establishment,finance,food,gas_station,point_of_interest,store,,,
16,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket,,,,,,,
17,bar,establishment,food,point_of_interest,restaurant,,,,,,,,
18,car_dealer,establishment,point_of_interest,store,,,,,,,,,
19,route,,,,,,,,,,,,
20,establishment,lodging,point_of_interest,,,,,,,,,,
21,bar,establishment,food,meal_takeaway,point_of_interest,restaurant,,,,,,,
22,car_dealer,establishment,point_of_interest,store,,,,,,,,,
23,car_dealer,establishment,point_of_interest,store,,,,,,,,,
24,establishment,parking,point_of_interest,,,,,,,,,,
25,bar,establishment,food,lodging,point_of_interest,restaurant,,,,,,,
26,establishment,point_of_interest,,,,,,,,,,,
27,route,,,,,,,,,,,,
28,establishment,point_of_interest,,,,,,,,,,,
29,establishment,point_of_interest,,,,,,,,,,,
30,establishment,point_of_interest,,,,,,,,,,,
31,establishment,point_of_interest,,,,,,,,,,,
32,bar,establishment,food,point_of_interest,restaurant,,,,,,,,
33,beauty_salon,establishment,point_of_interest,university,,,,,,,,,
34,route,,,,,,,,,,,,
35,establishment,food,grocery_or_supermarket,health,point_of_interest,store,supermarket,,,,,,
36,car_dealer,car_repair,establishment,point_of_interest,store,,,,,,,,
37,convenience_store,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket,,,,,,
38,establishment,point_of_interest,,,,,,,,,,,
39,establishment,lodging,point_of_interest,,,,,,,,,,
40,establishment,parking,point_of_interest,,,,,,,,,,
41,atm,cafe,clothing_store,establishment,finance,food,gas_station,grocery_or_supermarket,health,pharmacy,point_of_interest,store,supermarket
42,establishment,food,lodging,point_of_interest,restaurant,,,,,,,,
43,establishment,food,lodging,point_of_interest,restaurant,,,,,,,,
44,car_dealer,car_repair,establishment,point_of_interest,store,,,,,,,,
45,postal_code,,,,,,,,,,,,
46,car_repair,establishment,point_of_interest,,,,,,,,,,
47,atm,car_wash,convenience_store,establishment,finance,food,gas_station,point_of_interest,store,,,,
48,establishment,point_of_interest,university,,,,,,,,,,
49,establishment,point_of_interest,university,,,,,,,,,,
50,postal_code,,,,,,,,,,,,
51,establishment,gas_station,point_of_interest,,,,,,,,,,
52,establishment,food,point_of_interest,shopping_mall,,,,,,,,,
53,establishment,health,insurance_agency,point_of_interest,,,,,,,,,
54,establishment,point_of_interest,,,,,,,,,,,
55,establishment,parking,point_of_interest,,,,,,,,,,
56,establishment,hospital,point_of_interest,,,,,,,,,,
57,premise,,,,,,,,,,,,
58,route,,,,,,,,,,,,
59,establishment,gas_station,point_of_interest,,,,,,,,,,
60,establishment,gas_station,point_of_interest,,,,,,,,,,
61,car_dealer,establishment,point_of_interest,store,,,,,,,,,
62,car_dealer,establishment,point_of_interest,store,,,,,,,,,
63,convenience_store,establishment,food,gas_station,point_of_interest,store,,,,,,,
64,establishment,point_of_interest,storage,,,,,,,,,,
65,establishment,parking,point_of_interest,,,,,,,,,,
66,establishment,lodging,point_of_interest,,,,,,,,,,
67,postal_code,,,,,,,,,,,,
68,atm,cafe,clothing_store,establishment,finance,food,gas_station,grocery_or_supermarket,health,point_of_interest,store,supermarket,
69,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket,,,,,,,
70,establishment,point_of_interest,,,,,,,,,,,
71,establishment,point_of_interest,,,,,,,,,,,
72,establishment,point_of_interest,shopping_mall,,,,,,,,,,
73,establishment,health,point_of_interest,,,,,,,,,,
74,establishment,point_of_interest,,,,,,,,,,,
75,establishment,general_contractor,point_of_interest,,,,,,,,,,
76,establishment,parking,point_of_interest,,,,,,,,,,
77,establishment,lodging,point_of_interest,,,,,,,,,,
78,establishment,food,lodging,point_of_interest,restaurant,store,,,,,,,
79,establishment,parking,point_of_interest,,,,,,,,,,
80,bar,establishment,point_of_interest,,,,,,,,,,
81,car_dealer,establishment,point_of_interest,store,,,,,,,,,
82,establishment,lodging,point_of_interest,,,,,,,,,,
83,establishment,point_of_interest,tourist_attraction,,,,,,,,,,
84,establishment,point_of_interest,university,,,,,,,,,,
85,establishment,point_of_interest,shopping_mall,,,,,,,,,,
86,atm,establishment,finance,gas_station,point_of_interest,,,,,,,,
87,establishment,point_of_interest,,,,,,,,,,,
88,establishment,point_of_interest,,,,,,,,,,,
89,establishment,point_of_interest,,,,,,,,,,,
90,establishment,food,lodging,point_of_interest,restaurant,,,,,,,,
91,bar,casino,establishment,lodging,movie_theater,point_of_interest,shopping_mall,spa,,,,,
92,bar,casino,establishment,lodging,movie_theater,point_of_interest,shopping_mall,spa,,,,,
93,establishment,lodging,point_of_interest,,,,,,,,,,
94,establishment,point_of_interest,police,,,,,,,,,,
95,establishment,gas_station,point_of_interest,,,,,,,,,,
96,establishment,point_of_interest,train_station,transit_station,,,,,,,,,
97,establishment,point_of_interest,,,,,,,,,,,
98,establishment,gas_station,point_of_interest,,,,,,,,,,
99,establishment,lodging,point_of_interest,,,,,,,,,,
100,establishment,parking,point_of_interest,,,,,,,,,,
101,establishment,parking,point_of_interest,,,,,,,,,,
102,establishment,food,point_of_interest,shopping_mall,,,,,,,,,
103,establishment,point_of_interest,university,,,,,,,,,,
104,route,,,,,,,,,,,,
105,car_dealer,establishment,point_of_interest,store,,,,,,,,,
106,establishment,point_of_interest,train_station,transit_station,,,,,,,,,
107,car_dealer,establishment,point_of_interest,store,,,,,,,,,
108,car_dealer,establishment,point_of_interest,store,,,,,,,,,
109,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket,,,,,,,
110,cafe,establishment,food,point_of_interest,restaurant,store,,,,,,,
111,establishment,lodging,point_of_interest,,,,,,,,,,
112,postal_code,,,,,,,,,,,,
113,establishment,gym,health,point_of_interest,,,,,,,,,
114,convenience_store,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket,,,,,,
115,establishment,hospital,point_of_interest,,,,,,,,,,
116,car_dealer,car_repair,establishment,point_of_interest,store,,,,,,,,
117,establishment,point_of_interest,,,,,,,,,,,
118,atm,cafe,clothing_store,establishment,finance,food,gas_station,grocery_or_supermarket,health,pharmacy,point_of_interest,store,supermarket
119,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket,,,,,,,
120,car_dealer,car_repair,establishment,point_of_interest,store,,,,,,,,
121,route,,,,,,,,,,,,
122,convenience_store,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket,,,,,,
123,establishment,food,lodging,point_of_interest,restaurant,,,,,,,,
124,establishment,hospital,point_of_interest,,,,,,,,,,
125,route,,,,,,,,,,,,
126,car_dealer,establishment,point_of_interest,store,,,,,,,,,
127,car_dealer,car_repair,establishment,point_of_interest,store,,,,,,,,
128,establishment,food,gym,health,lodging,point_of_interest,restaurant,spa,,,,,
129,establishment,point_of_interest,,,,,,,,,,,
130,establishment,lodging,point_of_interest,,,,,,,,,,
131,postal_code,postal_code_prefix,,,,,,,,,,,
132,establishment,lodging,point_of_interest,spa,,,,,,,,,
133,establishment,point_of_interest,,,,,,,,,,,
134,establishment,food,lodging,point_of_interest,restaurant,store,,,,,,,
135,car_dealer,establishment,point_of_interest,store,,,,,,,,,
136,car_dealer,establishment,point_of_interest,store,,,,,,,,,
137,establishment,lodging,point_of_interest,,,,,,,,,,
138,atm,cafe,clothing_store,establishment,finance,food,gas_station,grocery_or_supermarket,health,point_of_interest,store,supermarket,
139,establishment,point_of_interest,,,,,,,,,,,
140,establishment,point_of_interest,train_station,transit_station,,,,,,,,,
141,car_repair,establishment,point_of_interest,,,,,,,,,,
142,establishment,parking,point_of_interest,,,,,,,,,,
143,establishment,parking,point_of_interest,,,,,,,,,,
144,establishment,point_of_interest,,,,,,,,,,,
145,establishment,lodging,point_of_interest,,,,,,,,,,
146,establishment,parking,point_of_interest,,,,,,,,,,
147,postal_code,postal_code_prefix,,,,,,,,,,,
148,beauty_salon,establishment,gym,health,point_of_interest,spa,,,,,,,
149,establishment,food,lodging,point_of_interest,restaurant,,,,,,,,
150,establishment,museum,point_of_interest,tourist_attraction,,,,,,,,,
151,establishment,museum,point_of_interest,tourist_attraction,,,,,,,,,
152,car_dealer,establishment,point_of_interest,store,,,,,,,,,
153,establishment,gas_station,point_of_interest,,,,,,,,,,
154,establishment,point_of_interest,store,tourist_attraction,travel_agency,,,,,,,,
155,establishment,point_of_interest,store,tourist_attraction,travel_agency,,,,,,,,
156,locality,political,,,,,,,,,,,
157,establishment,gym,health,point_of_interest,,,,,,,,,
158,car_dealer,car_repair,establishment,point_of_interest,store,,,,,,,,
159,atm,clothing_store,establishment,finance,food,grocery_or_supermarket,health,point_of_interest,store,supermarket,,,
160,establishment,point_of_interest,,,,,,,,,,,
161,establishment,point_of_interest,storage,,,,,,,,,,
162,establishment,point_of_interest,shopping_mall,,,,,,,,,,
163,establishment,point_of_interest,university,,,,,,,,,,
164,bar,establishment,food,lodging,point_of_interest,restaurant,spa,,,,,,
165,establishment,parking,point_of_interest,,,,,,,,,,
166,street_address,,,,,,,,,,,,
167,establishment,parking,point_of_interest,,,,,,,,,,
168,establishment,food,lodging,point_of_interest,restaurant,,,,,,,,
169,establishment,lodging,point_of_interest,,,,,,,,,,
170,establishment,parking,point_of_interest,,,,,,,,,,
171,establishment,parking,point_of_interest,,,,,,,,,,
172,establishment,point_of_interest,,,,,,,,,,,
173,establishment,point_of_interest,,,,,,,,,,,
174,establishment,point_of_interest,,,,,,,,,,,
175,establishment,hospital,point_of_interest,,,,,,,,,,
176,establishment,gas_station,point_of_interest,,,,,,,,,,
177,establishment,point_of_interest,,,,,,,,,,,
178,establishment,food,museum,point_of_interest,restaurant,store,,,,,,,
179,atm,convenience_store,establishment,finance,food,gas_station,point_of_interest,store,,,,,
180,campground,establishment,lodging,park,point_of_interest,,,,,,,,
181,bus_station,establishment,point_of_interest,transit_station,,,,,,,,,
182,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket,,,,,,,
183,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket,,,,,,,
184,establishment,parking,point_of_interest,,,,,,,,,,
185,car_repair,establishment,health,point_of_interest,,,,,,,,,
186,establishment,finance,point_of_interest,,,,,,,,,,
187,establishment,point_of_interest,,,,,,,,,,,
188,convenience_store,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket,,,,,,
189,establishment,parking,point_of_interest,,,,,,,,,,
190,premise,,,,,,,,,,,,
191,premise,,,,,,,,,,,,
192,premise,,,,,,,,,,,,
193,route,,,,,,,,,,,,
194,establishment,finance,point_of_interest,,,,,,,,,,
195,establishment,finance,point_of_interest,,,,,,,,,,
196,establishment,parking,point_of_interest,,,,,,,,,,
197,establishment,point_of_interest,,,,,,,,,,,
198,establishment,food,lodging,point_of_interest,restaurant,spa,,,,,,,
199,establishment,point_of_interest,,,,,,,,,,,
200,premise,,,,,,,,,,,,
201,establishment,point_of_interest,,,,,,,,,,,
202,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket,,,,,,,
203,establishment,lodging,point_of_interest,,,,,,,,,,
204,establishment,point_of_interest,university,,,,,,,,,,
205,establishment,point_of_interest,university,,,,,,,,,,
206,establishment,parking,point_of_interest,,,,,,,,,,
207,establishment,parking,point_of_interest,,,,,,,,,,
208,establishment,point_of_interest,,,,,,,,,,,
209,establishment,parking,point_of_interest,,,,,,,,,,
210,establishment,point_of_interest,university,,,,,,,,,,
211,establishment,point_of_interest,university,,,,,,,,,,
212,establishment,point_of_interest,university,,,,,,,,,,
213,route,,,,,,,,,,,,
214,car_dealer,establishment,point_of_interest,store,,,,,,,,,
215,establishment,hospital,point_of_interest,,,,,,,,,,
216,establishment,gym,health,point_of_interest,,,,,,,,,
217,establishment,lodging,point_of_interest,,,,,,,,,,
218,establishment,food,lodging,point_of_interest,restaurant,,,,,,,,
219,locality,political,,,,,,,,,,,
220,establishment,gym,health,point_of_interest,spa,,,,,,,,
221,convenience_store,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket,,,,,,
222,campground,establishment,food,lodging,park,point_of_interest,store,,,,,,
223,convenience_store,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket,,,,,,
224,establishment,food,lodging,point_of_interest,restaurant,,,,,,,,
225,establishment,lodging,point_of_interest,,,,,,,,,,
226,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket,,,,,,,
227,establishment,local_government_office,point_of_interest,,,,,,,,,,
228,convenience_store,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket,,,,,,
229,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket,,,,,,,
230,car_dealer,establishment,point_of_interest,store,,,,,,,,,
231,convenience_store,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket,,,,,,
232,establishment,gas_station,point_of_interest,,,,,,,,,,
234,car_dealer,establishment,point_of_interest,store,,,,,,,,,
235,establishment,general_contractor,point_of_interest,,,,,,,,,,
236,premise,,,,,,,,,,,,
237,car_dealer,establishment,point_of_interest,store,,,,,,,,,
238,establishment,point_of_interest,,,,,,,,,,,
239,establishment,food,meal_takeaway,point_of_interest,restaurant,,,,,,,,
240,establishment,lodging,point_of_interest,,,,,,,,,,
241,establishment,point_of_interest,,,,,,,,,,,
242,convenience_store,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket,,,,,,
